Country/territory,level,idf_reg,prev,inteval.prev,Diabetes national prevalence [%] [uncertainty range],adj.prev,inteval.adj,Diabetes age-adjusted comparative prevalence [%] [uncertainty range],cases,inteval.abs,"Adults with diabetes [20-79] in 1,000s [uncertainty range]",undiag,inteval.undiag,"Adults with undiagnosed diabetes [20-79] in 1,000s [uncertainty range]","Mean diabetes-related expenditure per person with diabetes [R=2, USD]","Mean diabetes-related expenditure per person with diabetes [R=2, International Dollar]",Diabetes related deaths [20-79],"Number of children with type 1 diabetes [0-14] in 1,000s",OGTT,DM data,"Basis of estimate [OGTT, extrapolation, other*]",,
Latvia,2,EUR,7.3, [5.8 - 9.1] , 7.30 ,5.4, [4.2 - 7.0] , 5.40 , 109.6 , [87.4 - 136.6] , 109.60 , 41.4 , [45.3 - 70.8] , 41.40 ," 1,027.8 "," 1,540.4 "," 1,305.5 ", 0.1 ,0,SELECTED,Other,,
Liechtenstein,2,EUR,8.9, [8.1 - 9.8] , 8.90 ,6.4, [5.7 - 7.1] , 6.40 , 2.4 , [2.2 - 2.7] , 2.40 , 0.9 , [1.2 - 1.4] , 0.90 ,,, 15.0 , NO DATA ,0,NO DATA,Extrapolation,,
Lithuania,2,EUR,5.5, [4.8 - 7.7] , 5.50 ,4.0, [3.5 - 5.8] , 4.00 , 116.9 , [104.0 - 165.5] , 116.90 , 44.1 , [53.9 - 85.8] , 44.10 ," 1,168.1 "," 1,909.9 "," 1,740.5 ", 0.4 ,0,SELECTED,Other,,
Luxembourg,2,EUR,5.7, [3.8 - 9.9] , 5.70 ,4.7, [3.2 - 8.7] , 4.70 , 23.7 , [15.9 - 41.3] , 23.70 , 9.0 , [8.2 - 21.4] , 9.00 ," 10,082.9 "," 8,235.2 ", 169.9 , 0.1 ,0,SELECTED,Other,,
Malta,2,EUR,13.9, [7.9 - 17.1] , 13.90 ,9.9, [5.4 - 12.8] , 9.90 , 44.1 , [25.1 - 54.2] , 44.10 , 16.6 , [13.0 - 28.1] , 16.60 ," 2,173.6 "," 2,882.7 ", 326.5 , 0.1 ,0,SELECTED,Other,,
Monaco,2,EUR,8.1, [6.7 - 9.7] , 8.10 ,5.7, [4.7 - 6.9] , 5.70 , 2.2 , [1.9 - 2.7] , 2.20 , 0.8 , [1.0 - 1.4] , 0.80 ," 7,940.8 "," 6,953.7 ", 14.8 , NO DATA ,0,NO DATA,Extrapolation,,
Montenegro,2,EUR,12.8, [11.2 - 14.5] , 12.80 ,10.5, [9.2 - 12.0] , 10.50 , 57.4 , [50.2 - 64.9] , 57.40 , 24.9 , [26.0 - 33.6] , 24.90 , -   , -   , 682.4 , 0.1 ,0,NO DATA,Extrapolation,,
Netherlands,2,EUR,7.9, [5.9 - 9.7] , 7.90 ,5.5, [4.0 - 7.1] , 5.50 , 973.5 ," [724.6 - 1,195.5] ", 973.50 , 367.5 , [375.5 - 619.5] , 367.50 ," 7,307.9 "," 6,661.2 "," 7,574.4 ", 3.9 ,1,SELECTED,OGTT,,
Norway,2,EUR,7.8, [5.9 - 9.7] , 7.80 ,6.0, [4.5 - 7.7] , 6.00 , 289.6 , [221.0 - 359.9] , 289.60 , 109.3 , [114.5 - 186.5] , 109.30 ," 11,851.1 "," 7,694.9 "," 1,952.1 ", 1.9 ,0,NO DATA,Extrapolation,,
Poland,2,EUR,7.6, [5.6 - 21.5] , 7.60 ,6.2, [4.4 - 22.0] , 6.20 ," 2,229.9 "," [1,637.6 - 6,290.6] "," 2,229.90 ", 847.5 ," [848.6 - 3,259.8] ", 847.50 ," 1,094.5 "," 1,896.6 "," 21,483.0 ", 6.4 ,1,SELECTED,OGTT,,
Portugal,2,EUR,13.6, [10.2 - 17.0] , 13.60 ,9.9, [7.1 - 13.3] , 9.90 ," 1,049.8 "," [788.1 - 1,311.8] "," 1,049.80 ", 397.9 , [408.4 - 679.8] , 397.90 ," 2,100.9 "," 2,586.7 "," 7,896.0 ", 1.4 ,1,SELECTED,OGTT,,
Moldova,2,EUR,7.7, [6.7 - 11.0] , 7.70 ,7.1, [6.1 - 10.4] , 7.10 , 238.5 , [206.6 - 339.5] , 238.50 , 103.5 , [107.1 - 175.9] , 103.50 , 342.7 , 720.5 ," 3,659.2 ", NO DATA ,0,NO DATA,Extrapolation,,
Romania,2,EUR,10.6, [6.0 - 15.6] , 10.60 ,8.4, [4.5 - 13.7] , 8.40 ," 1,544.1 "," [883.5 - 2,284.3] "," 1,544.10 ", 670.2 ," [457.8 - 1,183.7] ", 670.20 , 579.1 ," 1,135.7 "," 18,919.9 ", 1.6 ,0,SELECTED,Other,,
Russian Federation,2,EUR,11.1, [5.7 - 15.7] , 11.10 ,9.2, [4.7 - 13.3] , 9.20 ," 12,088.2 "," [6,235.4 - 17,026.9] "," 12,088.20 "," 4,563.7 "," [3,231.2 - 8,823.4] "," 4,563.70 "," 1,145.7 "," 1,899.7 "," 186,123.9 ", 18.5 ,1,SELECTED,OGTT,,
San Marino,2,EUR,9.0, [7.8 - 10.4] , 9.00 ,6.3, [5.3 - 7.5] , 6.30 , 2.1 , [1.8 - 2.5] , 2.10 , 0.8 , [1.0 - 1.3] , 0.80 ," 4,262.0 "," 4,107.6 ", 14.9 , NO DATA ,0,NO DATA,Extrapolation,,
Serbia,2,EUR,13.2, [11.6 - 14.9] , 13.20 ,10.3, [9.0 - 11.7] , 10.30 , 863.8 , [758.2 - 973.8] , 863.80 , 375.0 , [392.9 - 504.6] , 375.00 , 551.3 ," 1,146.1 "," 10,615.7 ", 1.2 ,0,NO DATA,Extrapolation,,
Slovakia,2,EUR,9.9, [5.9 - 11.5] , 9.90 ,7.8, [4.8 - 9.3] , 7.80 , 409.2 , [246.9 - 479.6] , 409.20 , 153.6 , [127.9 - 248.5] , 153.60 ," 1,766.9 "," 2,608.3 "," 5,042.7 ", 0.7 ,0,SELECTED,Other,,
Slovenia,2,EUR,10.7, [7.2 - 13.8] , 10.70 ,7.8, [5.5 - 10.2] , 7.80 , 168.2 , [112.7 - 215.5] , 168.20 , 63.5 , [58.4 - 111.7] , 63.50 ," 2,316.6 "," 2,884.0 "," 1,487.0 ", 0.3 ,0,SELECTED,Other,,
Spain,2,EUR,10.4, [8.2 - 14.7] , 10.40 ,7.7, [6.1 - 11.3] , 7.70 ," 3,576.1 "," [2,815.7 - 5,045.8] "," 3,576.10 "," 1,336.7 "," [1,459.1 - 2,614.7] "," 1,336.70 "," 2,848.4 "," 3,140.5 "," 22,308.8 ", 8.8 ,2,SELECTED,OGTT,,
Sweden,2,EUR,6.3, [5.2 - 9.5] , 6.30 ,4.7, [3.9 - 7.6] , 4.70 , 446.9 , [368.9 - 676.0] , 446.90 , 168.7 , [191.2 - 350.3] , 168.70 ," 6,776.0 "," 5,062.5 "," 3,076.7 ", 4.4 ,1,SELECTED,OGTT,,
Switzerland,2,EUR,7.7, [7.4 - 9.8] , 7.70 ,6.1, [5.7 - 7.6] , 6.10 , 480.7 , [461.7 - 607.4] , 480.70 , 181.5 , [239.3 - 314.7] , 181.50 ," 10,862.0 "," 7,244.1 "," 2,691.1 ", 1.1 ,0,SELECTED,Other,,
Tajikistan,2,EUR,4.5, [3.3 - 9.0] , 4.50 ,6.4, [4.6 - 12.0] , 6.40 , 207.7 , [150.3 - 413.1] , 207.70 , 90.1 , [77.9 - 214.1] , 90.10 , 122.2 , 296.0 ," 2,390.9 ", NO DATA ,0,NO DATA,Extrapolation,,
Macedonia,2,EUR,12.0, [10.5 - 13.6] , 12.00 ,10.3, [9.0 - 11.8] , 10.30 , 185.6 , [162.3 - 209.9] , 185.60 , 80.6 , [84.1 - 108.8] , 80.60 , 386.3 , 938.3 ," 2,034.1 ", 0.2 ,0,NO DATA,Extrapolation,,
Turkey,2,EUR,12.5, [11.2 - 14.9] , 12.50 ,12.8, [11.5 - 15.3] , 12.80 ," 6,339.0 "," [5,680.4 - 7,547.5] "," 6,339.00 "," 2,731.0 "," [2,943.6 - 3,911.1] "," 2,731.00 ", 846.0 ," 1,466.6 "," 52,094.7 ", 9.5 ,2,SELECTED,OGTT,,
Turkmenistan,2,EUR,5.2, [3.5 - 10.0] , 5.20 ,6.4, [4.4 - 12.0] , 6.40 , 173.3 , [118.2 - 335.6] , 173.30 , 75.2 , [61.3 - 173.9] , 75.20 , 245.9 , 431.0 ," 2,831.4 ", NO DATA ,0,NO DATA,Extrapolation,,
Ukraine,2,EUR,8.0, [5.3 - 15.1] , 8.00 ,6.5, [4.3 - 12.6] , 6.50 ," 2,756.7 "," [1,819.9 - 5,204.4] "," 2,756.70 "," 1,196.6 "," [943.1 - 2,696.9] "," 1,196.60 ", 355.7 , 781.2 ," 42,919.6 ", 3.4 ,0,NO DATA,Extrapolation,,
United Kingdom,2,EUR,6.2, [5.4 - 8.5] , 6.20 ,4.7, [4.1 - 6.9] , 4.70 ," 2,858.6 "," [2,499.3 - 3,940.1] "," 2,858.60 "," 1,068.9 "," [1,295.2 - 2,041.7] "," 1,068.90 "," 4,372.9 "," 4,023.8 "," 22,778.4 ", 19.8 ,1,SELECTED,OGTT,,
Uzbekistan,2,EUR,5.2, [3.4 - 10.4] , 5.20 ,6.6, [4.2 - 12.5] , 6.60 , 963.9 ," [624.0 - 1,906.7] ", 963.90 , 416.2 , [323.3 - 988.0] , 416.20 , 186.3 , 512.9 ," 12,273.6 ", 0.6 ,1,SELECTED,OGTT,,
MENA,1,MENA,9.1, [6.29 - 12.24] , 9.10 ,10.7, [7.39 - 14.20] , 10.70 ," 35,381.2 "," [24,318.55 - 47,366.10] "," 35,381.20 "," 14,377.6 ",,"14,377.60", 483.0 ," 1,133.2 "," 341,891.1 ", 60.7 ,,,,,
Afghanistan,2,MENA,6.6, [5.2 - 9.1] , 6.60 ,8.8, [6.9 - 12.0] , 8.80 , 935.8 ," [741.3 - 1,295.8] ", 935.80 , 484.9 , [384.2 - 671.5] , 484.90 , 106.2 , 311.4 ," 19,698.0 ", NO DATA ,0,NO DATA,Extrapolation,,
Algeria,2,MENA,6.8, [4.7 - 9.5] , 6.80 ,7.5, [5.1 - 10.3] , 7.50 ," 1,679.5 "," [1,157.6 - 2,359.5] "," 1,679.50 ", 693.8 ," [599.8 - 1,222.7] ", 693.80 , 468.1 ," 1,161.7 "," 14,067.7 ", 4.9 ,1,SELECTED,OGTT,,
Bahrain,2,MENA,15.6, [14.3 - 17.3] , 15.60 ,19.6, [17.9 - 21.6] , 19.60 , 154.3 , [141.6 - 170.4] , 154.30 , 54.8 , [73.4 - 88.3] , 54.80 ," 1,473.5 "," 2,623.6 ", 782.4 , NO DATA ,0,NO DATA,Extrapolation,,
Egypt,2,MENA,14.9, [7.2 - 17.1] , 14.90 ,16.7, [8.1 - 19.2] , 16.70 ," 7,809.7 "," [3,759.2 - 8,972.4] "," 7,809.70 "," 3,217.8 "," [1,948.0 - 4,649.5] "," 3,217.80 ", 218.8 , 779.8 ," 78,184.3 ", 5.8 ,0,SELECTED,Other,,
Iran [Islamic Republic of],2,MENA,8.5, [6.6 - 11.5] , 8.50 ,10.1, [7.7 - 13.5] , 10.10 ," 4,602.2 "," [3,571.6 - 6,256.6] "," 4,602.20 "," 1,881.1 "," [1,850.8 - 3,242.2] "," 1,881.10 ", 636.0 ," 2,081.2 "," 37,075.4 ", 3.1 ,0,SELECTED,Other,,
Iraq,2,MENA,7.2, [4.9 - 9.5] , 7.20 ,9.3, [6.6 - 12.0] , 9.30 ," 1,261.9 "," [857.5 - 1,665.0] "," 1,261.90 ", 519.6 , [444.3 - 862.8] , 519.60 , 549.6 ," 1,251.6 "," 16,893.4 ", NO DATA ,0,SELECTED,Other,,
Jordan,2,MENA,9.1, [7.5 - 15.6] , 9.10 ,11.7, [9.8 - 19.1] , 11.70 , 374.1 , [307.6 - 641.3] , 374.10 , 153.6 , [159.4 - 332.3] , 153.60 , 563.1 ," 1,275.5 "," 3,075.7 ", 0.5 ,1,SELECTED,OGTT,,
Kuwait,2,MENA,14.3, [11.7 - 19.4] , 14.30 ,20.0, [15.7 - 28.0] , 20.00 , 399.9 , [325.8 - 541.2] , 399.90 , 140.6 , [168.8 - 280.5] , 140.60 ," 2,040.0 "," 3,213.9 "," 1,142.4 ", 2.0 ,0,SELECTED,Other,,
Lebanon,2,MENA,12.2, [10.0 - 15.2] , 12.20 ,13.0, [10.6 - 16.1] , 13.00 , 464.2 , [378.2 - 579.0] , 464.20 , 191.1 , [196.0 - 300.0] , 191.10 , 870.2 ," 1,505.0 "," 5,723.8 ", NO DATA ,0,SELECTED,Other,,
Libya,2,MENA,9.2, [6.4 - 11.9] , 9.20 ,10.4, [7.2 - 13.3] , 10.40 , 354.0 , [247.9 - 456.5] , 354.00 , 145.8 , [128.5 - 236.6] , 145.80 , 672.3 ," 1,187.3 "," 2,699.8 ", 0.8 ,0,NO DATA,Extrapolation,,
Morocco,2,MENA,7.7, [6.0 - 11.5] , 7.70 ,8.1, [6.3 - 12.1] , 8.10 ," 1,671.4 "," [1,291.3 - 2,495.5] "," 1,671.40 ", 688.2 ," [669.2 - 1,293.2] ", 688.20 , 281.0 , 650.8 ," 9,473.8 ", NO DATA ,0,SELECTED,Other,,
Oman,2,MENA,9.9, [7.4 - 12.2] , 9.90 ,14.8, [10.9 - 18.1] , 14.80 , 325.9 , [243.9 - 402.3] , 325.90 , 116.8 , [126.4 - 208.5] , 116.80 ," 1,003.3 "," 1,178.1 "," 1,235.9 ", 0.1 ,1,SELECTED,OGTT,,
Pakistan,2,MENA,6.9, [5.0 - 9.8] , 6.90 ,8.1, [6.1 - 11.3] , 8.10 ," 7,028.1 "," [5,141.3 - 10,034.2] "," 7,028.10 "," 2,927.7 "," [2,664.2 - 5,199.7] "," 2,927.70 ", 61.5 , 210.5 ," 86,364.8 ", 1.6 ,1,SELECTED,OGTT,,
Qatar,2,MENA,13.5, [12.4 - 15.0] , 13.50 ,20.0, [18.4 - 22.1] , 20.00 , 239.1 , [220.3 - 265.8] , 239.10 , 84.9 , [114.2 - 137.8] , 84.90 ," 2,868.1 "," 4,046.5 ", 553.3 , 0.2 ,0,NO DATA,Extrapolation,,
Saudi Arabia,2,MENA,17.6, [13.5 - 19.6] , 17.60 ,20.0, [15.7 - 22.5] , 20.00 ," 3,487.3 "," [2,682.2 - 3,897.5] "," 3,487.30 "," 1,244.3 "," [1,389.9 - 2,019.7] "," 1,244.30 "," 1,145.3 "," 2,382.6 "," 23,420.8 ", 16.1 ,3,SELECTED,OGTT,,
State of Palestine,2,MENA,6.5, [3.6 - 13.8] , 6.50 ,9.4, [5.1 - 19.3] , 9.40 , 146.7 , [81.6 - 309.1] , 146.70 , 59.5 , [42.3 - 160.2] , 59.50 ,,,, NO DATA ,2,SELECTED,OGTT,,
Sudan,2,MENA,7.7, [4.2 - 15.6] , 7.70 ,8.9, [5.0 - 17.6] , 8.90 ," 1,490.4 "," [815.4 - 3,030.4] "," 1,490.40 ", 613.6 ," [422.5 - 1,570.3] ", 613.60 , 199.1 , 383.5 ," 22,371.1 ", 10.2 ,1,SELECTED,OGTT,,
Syrian Arab Republic,2,MENA,7.0, [5.7 - 9.3] , 7.00 ,8.1, [6.5 - 10.7] , 8.10 , 652.8 , [530.0 - 867.9] , 652.80 , 268.8 , [274.6 - 449.7] , 268.80 , 76.4 , 301.8 ," 7,002.0 ", NO DATA ,0,NO DATA,Extrapolation,,
Tunisia,2,MENA,9.5, [6.3 - 13.4] , 9.50 ,9.6, [6.4 - 13.6] , 9.60 , 725.9 ," [477.0 - 1,023.1] ", 725.90 , 302.8 , [247.2 - 530.2] , 302.80 , 431.6 ," 1,105.9 "," 5,092.8 ", 1.0 ,0,SELECTED,Other,,
United Arab Emirates,2,MENA,14.6, [13.0 - 17.1] , 14.60 ,19.3, [16.9 - 22.4] , 19.30 ," 1,086.3 "," [966.3 - 1,270.5] "," 1,086.30 ", 387.2 , [500.7 - 658.4] , 387.20 ," 2,155.9 "," 3,068.8 "," 1,384.8 ", NO DATA ,1,SELECTED,OGTT,,
Yemen,2,MENA,3.8, [3.0 - 6.4] , 3.80 ,5.1, [3.9 - 8.8] , 5.10 , 491.8 , [381.3 - 831.9] , 491.80 , 200.6 , [197.6 - 431.1] , 200.60 , 141.5 , 380.3 ," 5,648.8 ", NO DATA ,0,SELECTED,Other,,
NAC,1,NAC,12.9, [10.77 - 14.51] , 12.90 ,11.5, [9.53 - 13.04] , 11.50 ," 44,303.6 "," [37,059.65 - 49,948.36] "," 44,303.60 "," 13,253.2 ",," 13,253.20 "," 7,858.7 "," 7,941.2 "," 324,067.9 ", 107.3 ,,,,,
Anguilla,2,NAC,14.0, [11.1 - 17.4] , 14.00 ,13.6, [10.7 - 17.0] , 13.60 , 1.3 , [1.0 - 1.6] , 1.30 , 0.4 , [0.5 - 0.8] , 0.40 ,,,, NO DATA ,0,NO DATA,Extrapolation,,
Antigua and Barbuda,2,NAC,13.7, [12.2 - 16.1] , 13.70 ,13.6, [12.0 - 16.0] , 13.60 , 8.3 , [7.3 - 9.7] , 8.30 , 2.3 , [3.8 - 5.0] , 2.30 , 901.1 ," 1,382.0 ", 95.0 , 0.0 ,0,NO DATA,Extrapolation,,
Aruba,2,NAC,14.3, [11.8 - 17.7] , 14.30 ,11.7, [9.5 - 15.1] , 11.70 , 10.7 , [8.9 - 13.3] , 10.70 , 3.0 , [4.6 - 6.9] , 3.00 ,,,, NO DATA ,0,NO DATA,Extrapolation,,
Bahamas,2,NAC,13.3, [11.3 - 15.9] , 13.30 ,13.2, [11.2 - 15.8] , 13.20 , 36.0 , [30.7 - 43.0] , 36.00 , 10.1 , [15.9 - 22.3] , 10.10 ," 2,129.3 "," 2,218.1 ", 334.5 , 0.1 ,0,NO DATA,Extrapolation,,
Barbados,2,NAC,17.0, [14.4 - 20.4] , 17.00 ,13.6, [11.4 - 16.8] , 13.60 , 34.1 , [29.0 - 41.0] , 34.10 , 9.6 , [15.0 - 21.2] , 9.60 ," 1,162.1 "," 1,223.3 ", 290.8 , 0.0 ,0,SELECTED,Other,,
Belize,2,NAC,14.2, [12.4 - 16.4] , 14.20 ,16.5, [14.5 - 19.0] , 16.50 , 28.7 , [24.9 - 33.1] , 28.70 , 9.7 , [12.9 - 17.1] , 9.70 , 406.9 , 710.7 , 290.2 , NO DATA ,2,SELECTED,OGTT,,
Bermuda,2,NAC,15.1, [12.8 - 17.8] , 15.10 ,13.1, [10.9 - 15.7] , 13.10 , 6.7 , [5.7 - 7.8] , 6.70 , 1.9 , [2.9 - 4.1] , 1.90 ,,,, NO DATA ,0,SELECTED,Other,,
British Virgin Islands,2,NAC,14.7, [9.5 - 19.0] , 14.70 ,14.5, [9.3 - 18.8] , 14.50 , 2.8 , [1.8 - 3.7] , 2.80 , 1.0 , [1.0 - 1.9] , 1.00 ,,,, NO DATA ,0,SELECTED,Other,,
Canada,2,NAC,9.5, [9.0 - 13.1] , 9.50 ,7.4, [7.0 - 10.8] , 7.40 ," 2,512.0 "," [2,399.8 - 3,479.5] "," 2,512.00 ", 705.5 ," [1,243.6 - 1,803.1] ", 705.50 ," 6,824.4 "," 5,680.2 "," 15,685.5 ", 9.2 ,0,SELECTED,Other,,
Cayman Islands,2,NAC,13.4, [11.2 - 16.0] , 13.40 ,13.1, [10.9 - 15.7] , 13.10 , 5.2 , [4.3 - 6.2] , 5.20 , 1.4 , [2.2 - 3.2] , 1.40 ,,,, NO DATA ,0,NO DATA,Extrapolation,,
Curaçao,2,NAC,16.3, [13.3 - 19.7] , 16.30 ,13.3, [10.5 - 16.7] , 13.30 , 18.3 , [14.9 - 22.1] , 18.30 , 5.1 , [7.7 - 11.5] , 5.10 ,,,, NO DATA ,0,NO DATA,Extrapolation,,
Dominica,2,NAC,12.9, [10.4 - 16.3] , 12.90 ,12.6, [10.1 - 16.0] , 12.60 , 6.0 , [4.8 - 7.6] , 6.00 , 2.0 , [2.5 - 3.9] , 2.00 , 564.6 , 808.0 , 52.4 , 0.0 ,0,NO DATA,Extrapolation,,
Grenada,2,NAC,10.3, [8.3 - 13.6] , 10.30 ,11.4, [9.3 - 14.8] , 11.40 , 6.9 , [5.6 - 9.1] , 6.90 , 2.3 , [2.9 - 4.7] , 2.30 , 729.0 ," 1,063.0 ", 98.3 , NO DATA ,0,NO DATA,Extrapolation,,
Guadeloupe,2,NAC,16.6, [13.6 - 20.0] , 16.60 ,13.6, [10.7 - 17.0] , 13.60 , 52.2 , [42.7 - 62.9] , 52.20 , 17.6 , [22.1 - 32.6] , 17.60 ,,,, NO DATA ,0,NO DATA,Extrapolation,,
Guyana,2,NAC,11.2, [9.3 - 14.5] , 11.20 ,11.2, [9.2 - 14.6] , 11.20 , 49.8 , [41.4 - 64.7] , 49.80 , 16.8 , [21.5 - 33.5] , 16.80 , 394.9 , 672.6 , 867.7 , NO DATA ,0,NO DATA,Extrapolation,,
Haiti,2,NAC,5.6, [3.8 - 16.7] , 5.60 ,6.9, [4.7 - 19.3] , 6.90 , 332.2 , [222.9 - 984.6] , 332.20 , 146.7 , [115.5 - 510.2] , 146.70 , 131.4 , 275.1 ," 6,310.6 ", NO DATA ,1,SELECTED,OGTT,,
Jamaica,2,NAC,11.3, [9.0 - 14.2] , 11.30 ,11.5, [9.2 - 14.5] , 11.50 , 202.6 , [160.7 - 255.0] , 202.60 , 67.7 , [83.3 - 132.1] , 67.70 , 419.9 , 705.7 ," 1,952.1 ", NO DATA ,0,SELECTED,Other,,
Martinique,2,NAC,17.6, [14.6 - 21.1] , 17.60 ,13.3, [10.5 - 16.6] , 13.30 , 49.8 , [41.1 - 59.5] , 49.80 , 14.0 , [21.3 - 30.8] , 14.00 ,,,, NO DATA ,0,NO DATA,Extrapolation,,
Mexico,2,NAC,14.7, [7.9 - 17.6] , 14.70 ,15.8, [8.6 - 18.9] , 15.80 ," 11,463.8 "," [6,174.5 - 13,710.1] "," 11,463.80 "," 3,884.6 "," [3,199.6 - 7,104.6] "," 3,884.60 ", 911.3 ," 1,455.6 "," 76,298.8 ", 13.5 ,1,SELECTED,OGTT,,
Montserrat,2,NAC,14.0, [12.5 - 16.4] , 14.00 ,13.6, [12.2 - 15.9] , 13.60 , 0.5 , [0.4 - 0.5] , 0.50 , 0.1 , [0.2 - 0.3] , 0.10 ,,,, NO DATA ,0,NO DATA,Extrapolation,,
Saint Kitts and Nevis,2,NAC,13.4, [9.8 - 18.4] , 13.40 ,13.0, [9.5 - 17.9] , 13.00 , 4.8 , [3.5 - 6.6] , 4.80 , 1.3 , [1.8 - 3.4] , 1.30 ," 1,174.2 "," 1,792.6 ", 60.8 , NO DATA ,0,SELECTED,Other,,
Saint Lucia,2,NAC,10.9, [9.0 - 14.3] , 10.90 ,10.9, [9.0 - 14.2] , 10.90 , 13.3 , [11.0 - 17.4] , 13.30 , 4.5 , [5.7 - 9.0] , 4.50 , 855.0 ," 1,235.1 ", 117.1 , NO DATA ,0,NO DATA,Extrapolation,,
Saint Vincent and the Grenadines,2,NAC,11.7, [9.5 - 15.1] , 11.70 ,11.9, [9.6 - 15.3] , 11.90 , 8.3 , [6.7 - 10.7] , 8.30 , 2.8 , [3.5 - 5.5] , 2.80 , 486.0 , 781.9 , 99.1 , NO DATA ,0,NO DATA,Extrapolation,,
Sint Maarten [Dutch part],2,NAC,13.4, [11.2 - 16.0] , 13.40 ,13.1, [10.9 - 15.7] , 13.10 , 3.3 , [2.8 - 4.0] , 3.30 , 0.9 , [1.5 - 2.1] , 0.90 ,,,, NO DATA ,0,NO DATA,Extrapolation,,
Suriname,2,NAC,12.2, [9.8 - 15.6] , 12.20 ,12.5, [10.0 - 15.9] , 12.50 , 41.9 , [33.7 - 53.4] , 41.90 , 14.1 , [17.5 - 27.7] , 14.10 , 635.7 ," 1,063.4 ", 507.9 , NO DATA ,0,NO DATA,Extrapolation,,
Trinidad and Tobago,2,NAC,14.5, [13.0 - 16.8] , 14.50 ,13.6, [12.2 - 15.9] , 13.60 , 140.3 , [125.6 - 162.8] , 140.30 , 39.4 , [65.1 - 84.3] , 39.40 ," 1,263.2 "," 2,110.4 "," 1,593.7 ", NO DATA ,0,NO DATA,Extrapolation,,
United States of America,2,NAC,12.8, [12.1 - 13.5] , 12.80 ,10.8, [10.2 - 11.3] , 10.80 ," 29,251.6 "," [27,643.7 - 30,864.4] "," 29,251.60 "," 8,284.6 "," [14,325.0 - 15,993.9] "," 8,284.60 "," 10,941.7 "," 10,941.7 "," 219,413.2 ", 84.1 ,2,SELECTED,OGTT,,
United States Virgin Islands,2,NAC,16.3, [13.7 - 19.0] , 16.30 ,12.3, [10.2 - 14.4] , 12.30 , 12.2 , [10.2 - 14.1] , 12.20 , 3.4 , [5.3 - 7.3] , 3.40 ,,,, 0.0 ,1,SELECTED,OGTT,,
SACA,1,SACA,9.4, [8.00 - 11.26] , 9.40 ,9.6, [8.18 - 11.51] , 9.60 ," 29,573.4 "," [25,232.02 - 35,525.11] "," 29,573.40 "," 11,531.9 ",," 11,531.90 "," 1,169.3 "," 1,693.5 "," 247,494.6 ", 45.1 ,,,,,
Argentina,2,SACA,6.2, [4.6 - 9.0] , 6.20 ,6.0, [4.5 - 8.6] , 6.00 ," 1,723.9 "," [1,292.0 - 2,502.1] "," 1,723.90 ", 592.6 ," [669.5 - 1,296.6] ", 592.60 ," 1,549.5 "," 2,488.0 "," 16,291.2 ", 4.6 ,1,SELECTED,OGTT,,
Bolivia [Plurinational State of],2,SACA,6.5, [5.4 - 10.3] , 6.50 ,7.5, [6.2 - 11.6] , 7.50 , 389.0 , [322.3 - 620.2] , 389.00 , 154.9 , [167.0 - 321.4] , 154.90 , 281.0 , 600.5 ," 4,649.6 ", NO DATA ,1,SELECTED,OGTT,,
Brazil,2,SACA,10.2, [9.3 - 11.3] , 10.20 ,10.4, [9.4 - 11.5] , 10.40 ," 14,250.8 "," [12,910.8 - 15,752.4] "," 14,250.80 "," 5,724.4 "," [6,690.4 - 8,162.9] "," 5,724.40 "," 1,527.4 "," 2,047.5 "," 130,712.1 ", 30.9 ,1,SELECTED,OGTT,,
Chile,2,SACA,11.0, [9.3 - 13.6] , 11.00 ,10.0, [8.5 - 12.5] , 10.00 ," 1,372.7 "," [1,166.3 - 1,697.0] "," 1,372.70 ", 470.8 , [604.4 - 879.4] , 470.80 ," 1,557.7 "," 2,170.7 "," 8,464.2 ", 1.4 ,0,SELECTED,Other,,
Colombia,2,SACA,9.6, [8.6 - 10.7] , 9.60 ,10.0, [8.9 - 11.1] , 10.00 ," 3,048.7 "," [2,722.4 - 3,395.9] "," 3,048.70 "," 1,220.3 "," [1,410.8 - 1,759.8] "," 1,220.30 ", 772.9 ," 1,221.9 "," 19,802.1 ", 1.0 ,0,NO DATA,Extrapolation,,
Costa Rica,2,SACA,8.6, [7.0 - 10.2] , 8.60 ,8.5, [6.9 - 10.2] , 8.50 , 278.9 , [228.3 - 332.4] , 278.90 , 111.7 , [118.3 - 172.3] , 111.70 ," 1,420.6 "," 1,935.0 "," 1,571.1 ", NO DATA ,0,SELECTED,Other,,
Cuba,2,SACA,12.1, [10.8 - 13.5] , 12.10 ,10.0, [8.9 - 11.1] , 10.00 ," 1,020.0 "," [913.1 - 1,135.8] "," 1,020.00 ", 408.3 , [473.1 - 588.6] , 408.30 , 722.4 ," 2,189.2 "," 7,954.8 ", 0.3 ,0,NO DATA,Extrapolation,,
Dominican Republic,2,SACA,8.1, [5.3 - 10.8] , 8.10 ,8.8, [5.8 - 11.6] , 8.80 , 505.7 , [330.4 - 672.2] , 505.70 , 202.4 , [171.2 - 348.3] , 202.40 , 490.4 , 984.4 ," 6,014.9 ", 0.1 ,0,SELECTED,Other,,
