Country/territory,level,idf_reg,prev,inteval.prev,Diabetes national prevalence [%] [uncertainty range],adj.prev,inteval.adj,Diabetes age-adjusted comparative prevalence [%] [uncertainty range],cases,inteval.abs,"Adults with diabetes [20-79] in 1,000s [uncertainty range]",undiag,inteval.undiag,"Adults with undiagnosed diabetes [20-79] in 1,000s [uncertainty range]","Mean diabetes-related expenditure per person with diabetes [R=2, USD]","Mean diabetes-related expenditure per person with diabetes [R=2, International Dollar]",Diabetes related deaths [20-79],"Number of children with type 1 diabetes [0-14] in 1,000s",OGTT,DM data,"Basis of estimate [OGTT, extrapolation, other*]",,
Gabon,2,AFR,6.8, [5.6 - 8.3] , 6.80 ,7.8, [6.6 - 9.6] , 7.80 , 60.5 , [50.3 - 74.2] , 60.50 , 36.8 , [26.1 - 38.5] , 36.80 , 730.0 ," 1,215.0 "," 1,005.0 ", NO DATA ,0,NO DATA,Extrapolation,,
Gambia,2,AFR,1.6, [1.5 - 4.7] , 1.60 ,2.0, [1.9 - 6.0] , 2.00 , 13.4 , [13.0 - 39.8] , 13.40 , 9.6 , [6.7 - 20.6] , 9.60 , 57.5 , 197.2 , 193.2 , NO DATA ,0,SELECTED,Other,,
Ghana,2,AFR,1.9, [1.5 - 4.7] , 1.90 ,2.3, [1.8 - 5.7] , 2.30 , 266.2 , [209.2 - 657.5] , 266.20 , 189.9 , [108.4 - 340.7] , 189.90 , 180.6 , 388.8 ," 4,790.1 ", NO DATA ,0,NO DATA,Extrapolation,,
Guinea,2,AFR,1.9, [1.3 - 4.3] , 1.90 ,2.2, [1.6 - 5.1] , 2.20 , 110.1 , [78.6 - 252.7] , 110.10 , 78.6 , [40.7 - 131.0] , 78.60 , 47.3 , 112.6 ," 1,910.9 ", NO DATA ,0,NO DATA,Extrapolation,,
Guinea Bissau,2,AFR,1.9, [1.4 - 4.6] , 1.90 ,2.2, [1.7 - 5.5] , 2.20 , 16.8 , [12.8 - 41.1] , 16.80 , 12.0 , [6.7 - 21.3] , 12.00 , 59.5 , 147.0 , 376.2 , NO DATA ,0,NO DATA,Extrapolation,,
Kenya,2,AFR,2.2, [1.2 - 10.2] , 2.20 ,2.4, [1.3 - 13.0] , 2.40 , 478.0 ," [260.0 - 2,214.2] ", 478.00 , 287.7 ," [134.7 - 1,147.4] ", 287.70 , 82.4 , 187.7 ," 8,722.5 ", NO DATA ,1,SELECTED,OGTT,,
Lesotho,2,AFR,2.9, [1.8 - 5.0] , 2.90 ,3.9, [2.5 - 6.4] , 3.90 , 32.3 , [19.5 - 54.6] , 32.30 , 19.6 , [10.1 - 28.3] , 19.60 , 224.0 , 538.7 ," 1,535.0 ", NO DATA ,0,NO DATA,Extrapolation,,
Liberia,2,AFR,1.9, [1.5 - 4.6] , 1.90 ,2.3, [1.7 - 5.6] , 2.30 , 40.2 , [30.8 - 97.4] , 40.20 , 28.7 , [16.0 - 50.5] , 28.70 , 84.4 , 167.2 , 768.2 , NO DATA ,0,NO DATA,Extrapolation,,
Madagascar,2,AFR,3.3, [2.0 - 5.2] , 3.30 ,4.0, [2.5 - 6.3] , 4.00 , 372.0 , [230.4 - 593.2] , 372.00 , 265.4 , [119.4 - 307.4] , 265.40 , 37.6 , 111.4 ," 5,580.2 ", NO DATA ,0,NO DATA,Extrapolation,,
Malawi,2,AFR,2.7, [1.6 - 4.6] , 2.70 ,3.6, [2.3 - 5.7] , 3.60 , 203.0 , [120.7 - 340.7] , 203.00 , 144.8 , [62.5 - 176.6] , 144.80 , 52.5 , 180.6 ," 8,211.2 ", NO DATA ,0,NO DATA,Extrapolation,,
Mali,2,AFR,1.8, [1.3 - 4.2] , 1.80 ,2.2, [1.6 - 5.2] , 2.20 , 130.9 , [94.4 - 305.2] , 130.90 , 93.4 , [48.9 - 158.1] , 93.40 , 107.7 , 247.2 ," 2,412.4 ", NO DATA ,0,NO DATA,Extrapolation,,
Mauritania,2,AFR,2.0, [1.6 - 5.0] , 2.00 ,2.3, [1.9 - 5.9] , 2.30 , 39.2 , [31.7 - 100.1] , 39.20 , 23.8 , [16.4 - 51.9] , 23.80 , 89.6 , 254.8 , 580.6 , NO DATA ,0,NO DATA,Extrapolation,,
Mozambique,2,AFR,2.3, [1.4 - 4.5] , 2.30 ,2.6, [1.6 - 5.4] , 2.60 , 274.7 , [166.7 - 541.8] , 274.70 , 196.7 , [86.4 - 280.8] , 196.70 , 80.1 , 141.2 ," 9,716.5 ", NO DATA ,0,SELECTED,Other,,
Namibia,2,AFR,3.5, [2.2 - 5.8] , 3.50 ,4.2, [2.7 - 7.0] , 4.20 , 45.3 , [28.6 - 74.1] , 45.30 , 27.5 , [14.8 - 38.4] , 27.50 , 757.6 ," 1,343.6 "," 1,049.3 ", NO DATA ,0,NO DATA,Extrapolation,,
Niger,2,AFR,1.9, [1.2 - 3.9] , 1.90 ,2.2, [1.4 - 4.6] , 2.20 , 148.0 , [94.0 - 302.8] , 148.00 , 105.6 , [48.7 - 156.9] , 105.60 , 56.2 , 124.2 ," 3,263.8 ", NO DATA ,0,NO DATA,Extrapolation,,
Nigeria,2,AFR,1.9, [1.4 - 4.6] , 1.90 ,2.3, [1.7 - 5.5] , 2.30 ," 1,564.7 "," [1,184.2 - 3,794.2] "," 1,564.70 ", 949.9 ," [613.7 - 1,966.1] ", 949.90 , 212.3 , 400.9 ," 40,815.1 ", 14.4 ,0,NO DATA,Extrapolation,,
Réunion,2,AFR,18.2, [15.1 - 24.9] , 18.20 ,15.8, [13.0 - 21.6] , 15.80 , 103.8 , [86.2 - 142.5] , 103.80 , 62.5 , [44.7 - 73.8] , 62.50 ,,,, NO DATA ,1,SELECTED,OGTT,,
Rwanda,2,AFR,3.5, [2.1 - 7.9] , 3.50 ,4.1, [2.5 - 9.6] , 4.10 , 194.3 , [117.8 - 439.4] , 194.30 , 138.6 , [61.1 - 227.7] , 138.60 , 131.4 , 301.4 ," 4,476.4 ", 0.2 ,0,NO DATA,Extrapolation,,
Sao Tome and Principe,2,AFR,1.8, [1.5 - 4.9] , 1.80 ,2.3, [1.9 - 6.1] , 2.30 , 1.6 , [1.3 - 4.3] , 1.60 , 1.0 , [0.7 - 2.2] , 1.00 , 210.6 , 384.1 , 21.8 , NO DATA ,0,NO DATA,Extrapolation,,
Senegal,2,AFR,1.8, [1.3 - 4.3] , 1.80 ,2.2, [1.7 - 5.4] , 2.20 , 122.7 , [90.9 - 297.5] , 122.70 , 74.5 , [47.1 - 154.2] , 74.50 , 87.6 , 185.4 ," 1,934.2 ", NO DATA ,0,NO DATA,Extrapolation,,
Seychelles,2,AFR,17.4, [11.7 - 23.7] , 17.40 ,17.4, [11.5 - 23.7] , 17.40 , 11.4 , [7.7 - 15.5] , 11.40 , 6.2 , [4.0 - 8.1] , 6.20 , 658.5 ," 1,119.5 ", 121.0 , NO DATA ,1,SELECTED,OGTT,,
Sierra Leone,2,AFR,1.8, [1.3 - 4.2] , 1.80 ,2.2, [1.6 - 5.2] , 2.20 , 55.1 , [39.9 - 127.5] , 55.10 , 39.3 , [20.7 - 66.1] , 39.30 , 184.4 , 439.1 ," 1,590.3 ", NO DATA ,0,NO DATA,Extrapolation,,
Somalia,2,AFR,4.4, [2.7 - 9.0] , 4.40 ,5.1, [3.2 - 10.5] , 5.10 , 198.0 , [122.6 - 405.5] , 198.00 , 141.3 , [63.5 - 210.1] , 141.30 ,,," 4,087.8 ", NO DATA ,0,NO DATA,Extrapolation,,
South Africa,2,AFR,7.0, [3.6 - 14.1] , 7.00 ,7.6, [3.9 - 14.7] , 7.60 ," 2,286.0 "," [1,163.7 - 4,620.6] "," 2,286.00 "," 1,396.8 "," [603.0 - 2,394.4] "," 1,396.80 ", 918.9 ," 1,736.1 "," 57,318.6 ", NO DATA ,1,SELECTED,OGTT,,
South Sudan,2,AFR,6.6, [4.9 - 8.5] , 6.60 ,8.1, [6.0 - 10.3] , 8.10 , 376.6 , [282.0 - 490.6] , 376.60 , 268.7 , [146.1 - 254.2] , 268.70 ,,," 6,405.4 ", NO DATA ,0,NO DATA,Extrapolation,,
Swaziland,2,AFR,2.8, [1.7 - 4.8] , 2.80 ,3.8, [2.4 - 6.1] , 3.80 , 18.4 , [11.2 - 31.2] , 18.40 , 11.2 , [5.8 - 16.2] , 11.20 , 473.0 ," 1,041.2 "," 1,115.7 ", NO DATA ,0,NO DATA,Extrapolation,,
Togo,2,AFR,4.0, [1.3 - 6.3] , 4.00 ,4.8, [1.6 - 7.6] , 4.80 , 138.2 , [44.2 - 217.0] , 138.20 , 98.6 , [22.9 - 112.4] , 98.60 , 97.9 , 213.8 ," 2,355.7 ", NO DATA ,0,SELECTED,Other,,
Uganda,2,AFR,2.5, [1.4 - 7.0] , 2.50 ,3.1, [1.8 - 8.7] , 3.10 , 400.6 ," [225.2 - 1,102.6] ", 400.60 , 285.8 , [116.7 - 571.4] , 285.80 ,,," 11,341.4 ", NO DATA ,0,NO DATA,Extrapolation,,
United Republic of Tanzania,2,AFR,3.5, [2.3 - 8.7] , 3.50 ,4.1, [2.6 - 10.1] , 4.10 , 822.8 ," [527.9 - 2,033.2] ", 822.80 , 591.5 ," [273.6 - 1,053.6] ", 591.50 , 95.5 , 243.9 ," 17,698.4 ", 0.7 ,0,SELECTED,Other,,
Western Sahara,2,AFR,2.3, [2.1 - 5.9] , 2.30 ,2.4, [2.1 - 6.7] , 2.40 , 8.8 , [7.9 - 22.4] , 8.80 , 6.3 , [4.1 - 11.6] , 6.30 ,,,, NO DATA ,0,NO DATA,Extrapolation,,
